,query,match,distance,query_video,match_video,original_basename_q,original_basename_m,label
0,336,336,0.0,0rYkjJA8Tdk-b0e3b673bb42e568c4738cef9a7411fa,0rYkjJA8Tdk-b0e3b673bb42e568c4738cef9a7411fa,0rYkjJA8Tdk-b0e3b673bb42e568c4738cef9a7411fa,0rYkjJA8Tdk-b0e3b673bb42e568c4738cef9a7411fa,True
1,336,975,0.05041954945291387,0rYkjJA8Tdk-b0e3b673bb42e568c4738cef9a7411fa,44f0ff2cabfb481ea01125da92a843ea,0rYkjJA8Tdk-b0e3b673bb42e568c4738cef9a7411fa,0rYkjJA8Tdk-b0e3b673bb42e568c4738cef9a7411fa,True
2,336,581,0.14647615664218178,0rYkjJA8Tdk-b0e3b673bb42e568c4738cef9a7411fa,3fa1220959194d298dfa460056cb5d85,0rYkjJA8Tdk-b0e3b673bb42e568c4738cef9a7411fa,0rYkjJA8Tdk-b0e3b673bb42e568c4738cef9a7411fa,True
3,336,1490,0.2701156900361018,0rYkjJA8Tdk-b0e3b673bb42e568c4738cef9a7411fa,hMZ2ypzIPUs-9acf918df62ff0f08efd5b18fe6ad39c,0rYkjJA8Tdk-b0e3b673bb42e568c4738cef9a7411fa,hMZ2ypzIPUs-9acf918df62ff0f08efd5b18fe6ad39c,False
4,336,433,0.29661060406039724,0rYkjJA8Tdk-b0e3b673bb42e568c4738cef9a7411fa,3rb37ogopQg-1529fe303c2023ffbe4704741f9c8d0c,0rYkjJA8Tdk-b0e3b673bb42e568c4738cef9a7411fa,3rb37ogopQg-1529fe303c2023ffbe4704741f9c8d0c,False
5,336,662,0.3027746357519248,0rYkjJA8Tdk-b0e3b673bb42e568c4738cef9a7411fa,xW0WYnr_zD4-cb470ee7cb73c51174f8afd7805a106a,0rYkjJA8Tdk-b0e3b673bb42e568c4738cef9a7411fa,xW0WYnr_zD4-cb470ee7cb73c51174f8afd7805a106a,False
6,336,1104,0.30393545086517326,0rYkjJA8Tdk-b0e3b673bb42e568c4738cef9a7411fa,hWjAAMoC3u8-054448970c8b6ea05677e7084c994b5a,0rYkjJA8Tdk-b0e3b673bb42e568c4738cef9a7411fa,hWjAAMoC3u8-054448970c8b6ea05677e7084c994b5a,False
7,336,1056,0.30838224426785105,0rYkjJA8Tdk-b0e3b673bb42e568c4738cef9a7411fa,RC-75r1V3l8-b42f998425e0bcca0a6b197073b259ef,0rYkjJA8Tdk-b0e3b673bb42e568c4738cef9a7411fa,RC-75r1V3l8-b42f998425e0bcca0a6b197073b259ef,False
8,336,1140,0.30971076947488935,0rYkjJA8Tdk-b0e3b673bb42e568c4738cef9a7411fa,JHxblI1kF_o-a7a5a71059e27334996322da89671f20,0rYkjJA8Tdk-b0e3b673bb42e568c4738cef9a7411fa,JHxblI1kF_o-a7a5a71059e27334996322da89671f20,False
9,336,1252,0.31312206518921487,0rYkjJA8Tdk-b0e3b673bb42e568c4738cef9a7411fa,lUCLW5yNB_c-6eaefb2cf76574a7ced189bc8647e55e,0rYkjJA8Tdk-b0e3b673bb42e568c4738cef9a7411fa,lUCLW5yNB_c-6eaefb2cf76574a7ced189bc8647e55e,False
10,336,1326,0.3131451051781154,0rYkjJA8Tdk-b0e3b673bb42e568c4738cef9a7411fa,Ki_zcehbtRs-0b01394092f8fc8de830507bea65d78a,0rYkjJA8Tdk-b0e3b673bb42e568c4738cef9a7411fa,Ki_zcehbtRs-0b01394092f8fc8de830507bea65d78a,False
11,336,517,0.31638414979996765,0rYkjJA8Tdk-b0e3b673bb42e568c4738cef9a7411fa,cIpVMLyY2k4-6158a0f6c7723c622baaa11bb14df913,0rYkjJA8Tdk-b0e3b673bb42e568c4738cef9a7411fa,cIpVMLyY2k4-6158a0f6c7723c622baaa11bb14df913,False
12,336,1418,0.3167752312782116,0rYkjJA8Tdk-b0e3b673bb42e568c4738cef9a7411fa,l0m5IicWl1A-4560787d1b8b6d973d384683b4225670,0rYkjJA8Tdk-b0e3b673bb42e568c4738cef9a7411fa,l0m5IicWl1A-4560787d1b8b6d973d384683b4225670,False
13,336,653,0.3175019000277428,0rYkjJA8Tdk-b0e3b673bb42e568c4738cef9a7411fa,puME6wQyP98-f9659f8e6dcac0a1a45e7ea1741f28b8,0rYkjJA8Tdk-b0e3b673bb42e568c4738cef9a7411fa,puME6wQyP98-f9659f8e6dcac0a1a45e7ea1741f28b8,False
14,336,1836,0.31796302893203965,0rYkjJA8Tdk-b0e3b673bb42e568c4738cef9a7411fa,5dfDTxEu_fM-1fca2cf6f380553fd1c0f146c617dc0d,0rYkjJA8Tdk-b0e3b673bb42e568c4738cef9a7411fa,5dfDTxEu_fM-1fca2cf6f380553fd1c0f146c617dc0d,False
15,336,2201,0.3222918995836513,0rYkjJA8Tdk-b0e3b673bb42e568c4738cef9a7411fa,L0_rkEpQEsQ-54252508d5c94919c1da0a537e6ecd91,0rYkjJA8Tdk-b0e3b673bb42e568c4738cef9a7411fa,L0_rkEpQEsQ-54252508d5c94919c1da0a537e6ecd91,False
16,336,1820,0.3266458777880344,0rYkjJA8Tdk-b0e3b673bb42e568c4738cef9a7411fa,6efef378a9224a54afa86e2bfa8f817f,0rYkjJA8Tdk-b0e3b673bb42e568c4738cef9a7411fa,AA82DdkVh5s-db5b2e3d870f1005da5e88c3e6b256f4,False
17,336,142,0.32772877683275575,0rYkjJA8Tdk-b0e3b673bb42e568c4738cef9a7411fa,8c6603dbbffa4f80b7c4cf3b34eed2e2,0rYkjJA8Tdk-b0e3b673bb42e568c4738cef9a7411fa,hMZ2ypzIPUs-9acf918df62ff0f08efd5b18fe6ad39c,False
