,query,match,distance,query_video,match_video
4615,1784,3518,0.17904525109550234,5O9mAuV217k-43007247e8a07168206c59b471770d3f,977daead5ed8427d80f876a55b17496d
4616,1791,1791,0.0,687378b9ebf14b7da164f366c9be6e39,687378b9ebf14b7da164f366c9be6e39
4617,1791,2191,0.2623053197350608,687378b9ebf14b7da164f366c9be6e39,lUCLW5yNB_c-6eaefb2cf76574a7ced189bc8647e55e
4618,1792,1792,0.0,VjGQrAm8o90-5333a5c68a226ac945b920c78594eb9f,VjGQrAm8o90-5333a5c68a226ac945b920c78594eb9f
4619,1792,2689,0.29886299103946007,VjGQrAm8o90-5333a5c68a226ac945b920c78594eb9f,Sj_me_1_Lnk-19b3194e7f877e0e182fa5e43080883d
4620,1794,1794,0.0,cd984e900adf4c72ba5c65e3a7251f90,cd984e900adf4c72ba5c65e3a7251f90
4621,1794,748,0.24626215736704146,cd984e900adf4c72ba5c65e3a7251f90,yECKCuEiYc4-20fe4ed4c0e7f4e0fed01eb7cc66f377
4622,1799,1799,0.0,ce134527dd554a47bcafcaf5fb75b772,ce134527dd554a47bcafcaf5fb75b772
4623,1799,2825,0.28859912197666254,ce134527dd554a47bcafcaf5fb75b772,130ec7467778414599cc428e46cfb180
4624,1810,1810,0.0,bf2bbfd528e645b19c991f4379e18639,bf2bbfd528e645b19c991f4379e18639
4625,1810,1515,0.080764009195167,bf2bbfd528e645b19c991f4379e18639,4866G5vJpu4-102443320869c1cc51a5b229bde9ccab
4626,1812,1812,0.0,761e14b501d54735bb0980b493d9e9c6,761e14b501d54735bb0980b493d9e9c6
4627,1812,3054,0.27477322629486506,761e14b501d54735bb0980b493d9e9c6,93299adbd0b64727b7fe6079aa3709e5
4628,1835,1835,0.0,4c33958817fe4c08aebb27f149e7d138,4c33958817fe4c08aebb27f149e7d138
4629,1835,3100,0.21827285786008352,4c33958817fe4c08aebb27f149e7d138,b49c86d8c251483eb5745c11e5a9d538
4630,1837,1837,0.0,HRO87BkguHE-5a74f76fd3e1560b6a7823a0b74ba867,HRO87BkguHE-5a74f76fd3e1560b6a7823a0b74ba867
4631,1837,2689,0.2960296895314589,HRO87BkguHE-5a74f76fd3e1560b6a7823a0b74ba867,Sj_me_1_Lnk-19b3194e7f877e0e182fa5e43080883d
4632,1850,1850,0.0,NWK5esmrRYU-9225338a8fdc57473a7f91cf49811075,NWK5esmrRYU-9225338a8fdc57473a7f91cf49811075
4633,1850,2289,0.28486770828807584,NWK5esmrRYU-9225338a8fdc57473a7f91cf49811075,9d9f386e40e74b758e107d4631550edd
4634,1854,1854,0.0,Wn3fvglIi9I-0ab5f27bbe87c059d9bd0e9722c5831e,Wn3fvglIi9I-0ab5f27bbe87c059d9bd0e9722c5831e
4635,1854,1476,0.2548093340958283,Wn3fvglIi9I-0ab5f27bbe87c059d9bd0e9722c5831e,a02461a0f9784a11920b40a91c92e9ff
4636,1860,1860,0.0,986243e9ca914631bddbaeb1466bb159,986243e9ca914631bddbaeb1466bb159
4637,1860,2949,0.29135867080628225,986243e9ca914631bddbaeb1466bb159,86a98abcf8624b879c487b406d8e990f
4638,1872,1872,0.0,a9a6c38d7ae64bafb7bd99e9238fe2cf,a9a6c38d7ae64bafb7bd99e9238fe2cf
4639,1872,2300,0.19388607839465835,a9a6c38d7ae64bafb7bd99e9238fe2cf,gqX0f7c4Qcw-ef4cc9354f3b0e4aec04a78bdc5f5416
4640,1875,1875,0.0,21ad3988509f4c92a053c892c916a926,21ad3988509f4c92a053c892c916a926
4641,1875,170,0.28394025968170833,21ad3988509f4c92a053c892c916a926,c0823a49780b40f3a39e3ffd8f4275fb
4642,1878,1878,0.0,oGr8ue-F3wI-c320172e190fcdedef9cd02aea7f9987,oGr8ue-F3wI-c320172e190fcdedef9cd02aea7f9987
4643,1878,2451,0.22684359961820943,oGr8ue-F3wI-c320172e190fcdedef9cd02aea7f9987,15069d42a09f447590ac413e2766c33e
4644,1882,1882,0.0,4eb1f78e80f1476f84e08a05fa62413d,4eb1f78e80f1476f84e08a05fa62413d
4645,1882,1172,0.16468350962223002,4eb1f78e80f1476f84e08a05fa62413d,jU3s1bjij_4-bc6ae4a7e2ec600f54bd31830aa0fee1
4646,1883,1883,0.0,41392b151d4e4ab9b6da9ad4d34de628,41392b151d4e4ab9b6da9ad4d34de628
4647,1883,2675,0.20954136579478408,41392b151d4e4ab9b6da9ad4d34de628,9b223626726c4e8db8d9fe683cb64c20
4648,1884,1884,0.0,b3910fccd73b4285ba1deac95a1a2ead,b3910fccd73b4285ba1deac95a1a2ead
4649,1884,444,0.23820410986186594,b3910fccd73b4285ba1deac95a1a2ead,57aab2bf8adb44f28dfcb516b0524eae
4650,1887,1887,0.0,a1da53454366402ab77ddc8ff4640b46,a1da53454366402ab77ddc8ff4640b46
4651,1887,1548,0.2769520218199695,a1da53454366402ab77ddc8ff4640b46,3OsNbYCMoC0-fc57dac34999dd1bd3019287d793655f
4652,1888,1888,0.0,1ce350acec5340d987c5b45f42a3beee,1ce350acec5340d987c5b45f42a3beee
4653,1888,2278,0.22434805439012526,1ce350acec5340d987c5b45f42a3beee,2e40cb2fe74e4d9db5e1eb9efdf85d91
4654,1896,1896,0.0,2b6231a49fb04e0ba05013eeb2f97658,2b6231a49fb04e0ba05013eeb2f97658
4655,1896,975,0.28734464578465024,2b6231a49fb04e0ba05013eeb2f97658,5200f8117af14707abc6cc4ed2feaa37
4656,1904,1904,0.0,uXmAkWROeEM-f6b593f9164c0ece433315b441a58d43,uXmAkWROeEM-f6b593f9164c0ece433315b441a58d43
4657,1904,3717,0.25315867803537717,uXmAkWROeEM-f6b593f9164c0ece433315b441a58d43,0ab2930e8c1d4d4893587e0f8af90069
4658,1907,1907,0.0,cdef0d714b044067866656835bca1a29,cdef0d714b044067866656835bca1a29
4659,1907,1153,0.2523371217786752,cdef0d714b044067866656835bca1a29,087cdba7522f4678936e1b525e6e9672
4660,1919,1919,0.0,3d5d4e40fec44b56af47eeb27c4caaf4,3d5d4e40fec44b56af47eeb27c4caaf4
4661,1919,2366,0.26150672656256546,3d5d4e40fec44b56af47eeb27c4caaf4,XF-MEzftZ0s-83c2b1d7d679a39c7a3d4bc46c63344c
4662,1923,1923,0.0,9288ea727ec24e6d87cfed4c40cc08bc,9288ea727ec24e6d87cfed4c40cc08bc
4663,1923,2776,0.03968692878834896,9288ea727ec24e6d87cfed4c40cc08bc,VqZjjf2K1-4-63c198c42e9e4adbd7d411bd31d18562
4664,1932,1932,0.0,iZAGMHLJ2U8-0a2d3652c2e8132baf9593de3cfae8b1,iZAGMHLJ2U8-0a2d3652c2e8132baf9593de3cfae8b1
4665,1932,669,0.11742003646955536,iZAGMHLJ2U8-0a2d3652c2e8132baf9593de3cfae8b1,4f2e649a519b417e8b0b3c5934ef6949
4666,1934,1934,0.0,8679af4e48bb4558a002160155041959,8679af4e48bb4558a002160155041959
4667,1934,2735,0.21573902730320477,8679af4e48bb4558a002160155041959,d1656a2d50e84e8989edd60b02703364
4668,1940,1940,0.0,9c7d5348e69842c09db77847ec3f5822,9c7d5348e69842c09db77847ec3f5822
4669,1940,1040,0.2785328423660313,9c7d5348e69842c09db77847ec3f5822,rmPRC1ZSgsw-fcd380052c11d443522723c1936b8733
4670,1955,1955,0.0,7SHwYrvuLL0-bd232100a22e4e4f12ce43fe20880b5c,7SHwYrvuLL0-bd232100a22e4e4f12ce43fe20880b5c
4671,1955,261,0.27388294977621647,7SHwYrvuLL0-bd232100a22e4e4f12ce43fe20880b5c,504048994e9b46e39a3081cba22ea9dc
4672,1973,1973,0.0,FUAfocJA6N8-bbc2da79edc83af7e255d14509ca02e5,FUAfocJA6N8-bbc2da79edc83af7e255d14509ca02e5
4673,1973,884,0.22024605324884522,FUAfocJA6N8-bbc2da79edc83af7e255d14509ca02e5,908449e617264e9faa8638468aa406ba
4674,1992,1992,0.0,a5c495507a25481e9d0ac70fd9365119,a5c495507a25481e9d0ac70fd9365119
4675,1992,3625,0.23677330108319447,a5c495507a25481e9d0ac70fd9365119,Ku3arTrM0jg-8dc21d6fbeaddaa7a6cd6e5a86c90b4e
4676,2006,2006,0.0,0c283a49c3b3404eaa002fd004c5deee,0c283a49c3b3404eaa002fd004c5deee
4677,2006,3759,0.22723288044068973,0c283a49c3b3404eaa002fd004c5deee,4pvyxQCAAWk-bfc0dddcebe2fd65c1fefd623ad91599
4678,2009,2009,0.0,341fba88128e4018bdbc2a0d570249e2,341fba88128e4018bdbc2a0d570249e2
4679,2009,603,0.2703228541890417,341fba88128e4018bdbc2a0d570249e2,80568f68eee84a25a8c7b8d8e5a21af8
4680,2010,2010,0.0,V0KJwd-nUIw-61eb5b01ce3d24b02af8af57adc97d04,V0KJwd-nUIw-61eb5b01ce3d24b02af8af57adc97d04
4681,2010,3806,0.2796455683162565,V0KJwd-nUIw-61eb5b01ce3d24b02af8af57adc97d04,qyZCqxqcKlE-b4146c81f8c64201d1502319ed1d993c
4682,2011,2011,0.0,ao_H7nyHWQw-2ec745a455cb2640b5e26f5e59d94510,ao_H7nyHWQw-2ec745a455cb2640b5e26f5e59d94510
4683,2011,3135,0.2782530388183616,ao_H7nyHWQw-2ec745a455cb2640b5e26f5e59d94510,051fafb190c644cdb4495f75c12d1e2f
4684,2017,2017,0.0,0skcZddaa3Q-389610305899163cf6ddad122a54954e,0skcZddaa3Q-389610305899163cf6ddad122a54954e
4685,2017,3725,0.28293544685631544,0skcZddaa3Q-389610305899163cf6ddad122a54954e,71440d78a64a4cd48500b650bdbfe90e
4686,2018,2018,0.0,nomlAjT7JXg-64b616daa1751efd9b70f859ac4bc4e8,nomlAjT7JXg-64b616daa1751efd9b70f859ac4bc4e8
4687,2018,1418,0.24606521614046864,nomlAjT7JXg-64b616daa1751efd9b70f859ac4bc4e8,8e44ab4a5be449cea6fcb08937b68863
4688,2020,2020,0.0,63a9c8663fce45b18550b34230253148,63a9c8663fce45b18550b34230253148
4689,2020,3495,0.2162883424076811,63a9c8663fce45b18550b34230253148,908edd8da0e8404aa5f5a94b80880e8e
4690,2026,2026,0.0,5u1RTim6fk0-6110763daff6b9fbb522d6dec4aca22c,5u1RTim6fk0-6110763daff6b9fbb522d6dec4aca22c
4691,2026,2702,0.2813090780892304,5u1RTim6fk0-6110763daff6b9fbb522d6dec4aca22c,oiuYj8JnQq4-b0d9b5ec369651a9663adcc9fd0eb36d
4692,2041,2041,0.0,iRnQWGfiunQ-27f6b7d57e412ccb590062c1ec9c9487,iRnQWGfiunQ-27f6b7d57e412ccb590062c1ec9c9487
4693,2041,537,0.21342287311711178,iRnQWGfiunQ-27f6b7d57e412ccb590062c1ec9c9487,VlKO1R3Czdg-4f4d25976efe1d80de8a6286dc0e1855
4694,2048,2048,0.0,5fad271fcbd348b6b35055eae326792f,5fad271fcbd348b6b35055eae326792f
4695,2048,2643,0.229629964334138,5fad271fcbd348b6b35055eae326792f,6899f5f0f9d943bfa92a577ea8d8d2ac
4696,2050,2050,0.0,O3duX2dkOh8-26249653c2614c0be0af7cda5d5766f7,O3duX2dkOh8-26249653c2614c0be0af7cda5d5766f7
4697,2050,2439,0.2763917318108996,O3duX2dkOh8-26249653c2614c0be0af7cda5d5766f7,E6B3Hwsd5mM-f743130db139c5722a3a610dccf88b7d
4698,2060,2060,0.0,Wa5_fQVlU1w-482f5996d46f7ce369ee9222ee6821fb,Wa5_fQVlU1w-482f5996d46f7ce369ee9222ee6821fb
4699,2060,0,0.1530106081168092,Wa5_fQVlU1w-482f5996d46f7ce369ee9222ee6821fb,7d88847165794ae6a90e6336571da918
4700,2068,2068,0.0,298f4066b44a4666af7b13a84a0d723d,298f4066b44a4666af7b13a84a0d723d
4701,2068,89,0.15090122465582698,298f4066b44a4666af7b13a84a0d723d,7NFLv137dRo-f5ea0a643e72c46dff2b5f52289f2ead
4702,2070,2070,0.0,D5tuNsZlf6g-421d37bfa5fbe82fd4790f6a4833eed0,D5tuNsZlf6g-421d37bfa5fbe82fd4790f6a4833eed0
4703,2070,638,0.20564849722436904,D5tuNsZlf6g-421d37bfa5fbe82fd4790f6a4833eed0,48ec6cc254dd4841a7cf01fc7e1283e5
4704,2072,2072,0.0,a401938f92ea463493215ac7ab6b2739,a401938f92ea463493215ac7ab6b2739
4705,2072,3804,0.2637761780515088,a401938f92ea463493215ac7ab6b2739,s0jCZefsilQ-04951dae91f182636dfe294a2f830f95
4706,2091,2091,0.0,732e78fbdc9c41658a5a227cd9d32dba,732e78fbdc9c41658a5a227cd9d32dba
4707,2091,3479,0.2701366752675516,732e78fbdc9c41658a5a227cd9d32dba,37e68d4caae845fe94a4f7bf9b65d71a
4708,2101,2101,0.0,W3UHKYaFdhg-7eb90000efc9da69d64b248cefadb023,W3UHKYaFdhg-7eb90000efc9da69d64b248cefadb023
4709,2101,24,0.23416618213337945,W3UHKYaFdhg-7eb90000efc9da69d64b248cefadb023,3bb8d54de1f44272808d613654c616d4
4710,2102,2102,0.0,cb2b634f99244619a5660f493542e4c1,cb2b634f99244619a5660f493542e4c1
4711,2102,2311,0.2716884440826126,cb2b634f99244619a5660f493542e4c1,586fc8881e954cd398495dea5424c120
4712,2104,2104,0.0,CMcPeaMK6xo-4bc269214315a2c0c2095c7214d60438,CMcPeaMK6xo-4bc269214315a2c0c2095c7214d60438
4713,2104,1555,0.19043627800851243,CMcPeaMK6xo-4bc269214315a2c0c2095c7214d60438,bcafa29756e74267a54e2e076912cfdf
4714,2108,2108,0.0,fee84a7f86714ffd8a0b760d0425ac00,fee84a7f86714ffd8a0b760d0425ac00
4715,2108,3819,0.29525322839577023,fee84a7f86714ffd8a0b760d0425ac00,992e89d98b604616add7d7c315cbc4b1
4716,2109,2109,0.0,69Ri7ItDmS4-5717b7b1f2d8f77c3a22532f2b1ce160,69Ri7ItDmS4-5717b7b1f2d8f77c3a22532f2b1ce160
4717,2109,3006,0.10767346826247699,69Ri7ItDmS4-5717b7b1f2d8f77c3a22532f2b1ce160,7aa625db5d2943c4a031710c1c1686f7
4718,2111,2111,0.0,0606145f4f724f308f651192fcdd86ad,0606145f4f724f308f651192fcdd86ad
4719,2111,3546,0.14936969549184953,0606145f4f724f308f651192fcdd86ad,qGCz-jTygWQ-6c41dd8833096dfabfea0da4be096f82
4720,2112,2112,0.0,7c1b06d752d9459aa2239a8875aed18a,7c1b06d752d9459aa2239a8875aed18a
4721,2112,2511,0.14348868835475306,7c1b06d752d9459aa2239a8875aed18a,pbDcLobEjDs-15fe4262f91fd7a4db2772ae8c311238
4722,2117,2117,0.0,_afTSrDroHs-06d2f1b68aabc513424f74184663caa9,_afTSrDroHs-06d2f1b68aabc513424f74184663caa9
4723,2117,3303,0.1625585221606028,_afTSrDroHs-06d2f1b68aabc513424f74184663caa9,28572544f875417fb926b5cc9c74c62a
4724,2129,2129,0.0,1871cc112ae74a5e806dbe93b29ab998,1871cc112ae74a5e806dbe93b29ab998
